time,state_name,state_abbr,units_total_thousand
2024-08,Massachusetts,MA,1.561
2024-08,Michigan,MI,2.109
2024-08,Minnesota,MN,2.147
2024-08,Mississippi,MS,0.653
2024-08,Missouri,MO,2.232
2024-08,Montana,MT,0.459
2024-08,Nebraska,NE,0.749
2024-08,Nevada,NV,1.494
2024-08,New Hampshire,NH,0.546
2024-08,New Jersey,NJ,3.645
2024-08,New Mexico,NM,0.739
2024-08,New York,NY,3.369
2024-08,North Carolina,NC,9.465
2024-08,North Dakota,ND,0.171
2024-08,Ohio,OH,2.308
2024-08,Oklahoma,OK,1.127
2024-08,Oregon,OR,1.154
2024-08,Pennsylvania,PA,2.134
2024-08,Rhode Island,RI,0.094
2024-08,South Carolina,SC,3.767
2024-08,South Dakota,SD,1.105
2024-08,Tennessee,TN,4.465
2024-08,Texas,TX,20.105
2024-08,Utah,UT,1.877
2024-08,Vermont,VT,0.181
2024-08,Virginia,VA,3.166
2024-08,Washington,WA,3.248
2024-08,West Virginia,WV,0.413
2024-08,Wisconsin,WI,1.894
2024-08,Wyoming,WY,0.162
2024-09,Alabama,AL,1.433
2024-09,Alaska,AK,0.062
2024-09,Arizona,AZ,4.413
2024-09,Arkansas,AR,1.641
2024-09,California,CA,7.798
2024-09,Colorado,CO,2.574
2024-09,Connecticut,CT,0.647
2024-09,Delaware,DE,0.399
2024-09,District of Columbia,DC,0.122
2024-09,Florida,FL,12.38
2024-09,Georgia,GA,5.099
2024-09,Hawaii,HI,0.236
2024-09,Idaho,ID,1.636
2024-09,Illinois,IL,1.906
2024-09,Indiana,IN,2.415
2024-09,Iowa,IA,1.284
2024-09,Kansas,KS,0.716
2024-09,Kentucky,KY,1.084
2024-09,Louisiana,LA,1.186
2024-09,Maine,ME,0.491
2024-09,Maryland,MD,1.294
2024-09,Massachusetts,MA,0.731
2024-09,Michigan,MI,1.972
2024-09,Minnesota,MN,2.11
2024-09,Mississippi,MS,0.542
2024-09,Missouri,MO,1.351
2024-09,Montana,MT,0.352
2024-09,Nebraska,NE,1.469
2024-09,Nevada,NV,1.281
2024-09,New Hampshire,NH,0.563
2024-09,New Jersey,NJ,2.588
2024-09,New Mexico,NM,0.862
2024-09,New York,NY,2.871
2024-09,North Carolina,NC,6.885
2024-09,North Dakota,ND,0.232
2024-09,Ohio,OH,2.619
2024-09,Oklahoma,OK,0.945
2024-09,Oregon,OR,1.168
2024-09,Pennsylvania,PA,2.002
2024-09,Rhode Island,RI,0.098
2024-09,South Carolina,SC,3.586
2024-09,South Dakota,SD,0.485
2024-09,Tennessee,TN,3.876
2024-09,Texas,TX,16.291
2024-09,Utah,UT,2.372
2024-09,Vermont,VT,0.15
2024-09,Virginia,VA,2.022
2024-09,Washington,WA,3.037
2024-09,West Virginia,WV,0.36
2024-09,Wisconsin,WI,1.743
2024-09,Wyoming,WY,0.155
2024-10,Alabama,AL,2.106
2024-10,Alaska,AK,0.092
2024-10,Arizona,AZ,4.919
2024-10,Arkansas,AR,1.289
2024-10,California,CA,8.597
2024-10,Colorado,CO,3.001
2024-10,Connecticut,CT,0.564
2024-10,Delaware,DE,0.54
2024-10,District of Columbia,DC,0.465
2024-10,Florida,FL,13.302
2024-10,Georgia,GA,4.601
2024-10,Hawaii,HI,0.32
2024-10,Idaho,ID,1.706
2024-10,Illinois,IL,1.933
2024-10,Indiana,IN,2.866
2024-10,Iowa,IA,1.21
2024-10,Kansas,KS,0.821
2024-10,Kentucky,KY,1.189
2024-10,Louisiana,LA,1.105
2024-10,Maine,ME,0.515
2024-10,Maryland,MD,1.284
2024-10,Massachusetts,MA,1.289
2024-10,Michigan,MI,2.423
2024-10,Minnesota,MN,2.081
2024-10,Mississippi,MS,0.722
2024-10,Missouri,MO,2.229
2024-10,Montana,MT,0.423
2024-10,Nebraska,NE,0.703
2024-10,Nevada,NV,1.131
2024-10,New Hampshire,NH,0.334
2024-10,New Jersey,NJ,2.982
2024-10,New Mexico,NM,0.632
2024-10,New York,NY,3.008
2024-10,North Carolina,NC,7.146
2024-10,North Dakota,ND,0.325
2024-10,Ohio,OH,2.661
2024-10,Oklahoma,OK,1.25
2024-10,Oregon,OR,0.989
2024-10,Pennsylvania,PA,2.154
2024-10,Rhode Island,RI,0.144
2024-10,South Carolina,SC,3.7
2024-10,South Dakota,SD,0.754
2024-10,Tennessee,TN,3.161
2024-10,Texas,TX,20.769
2024-10,Utah,UT,2.379
2024-10,Vermont,VT,0.153
2024-10,Virginia,VA,2.662
2024-10,Washington,WA,3.507
2024-10,West Virginia,WV,0.307
2024-10,Wisconsin,WI,2.461
2024-10,Wyoming,WY,0.153
2024-11,Alabama,AL,1.58
2024-11,Alaska,AK,0.109
2024-11,Arizona,AZ,4.641
2024-11,Arkansas,AR,0.984
2024-11,California,CA,7.647
2024-11,Colorado,CO,2.53
2024-11,Connecticut,CT,0.564
2024-11,Delaware,DE,0.476
2024-11,District of Columbia,DC,0.07
2024-11,Florida,FL,10.76
2024-11,Georgia,GA,4.161
2024-11,Hawaii,HI,0.438
2024-11,Idaho,ID,1.397
2024-11,Illinois,IL,1.819
2024-11,Indiana,IN,2.019
2024-11,Iowa,IA,1.398
2024-11,Kansas,KS,0.545
2024-11,Kentucky,KY,0.991
2024-11,Louisiana,LA,0.966
2024-11,Maine,ME,0.387
2024-11,Maryland,MD,0.936
2024-11,Massachusetts,MA,1.006
2024-11,Michigan,MI,1.749
2024-11,Minnesota,MN,1.898
2024-11,Mississippi,MS,0.514
2024-11,Missouri,MO,1.721
2024-11,Montana,MT,0.396
2024-11,Nebraska,NE,0.762
2024-11,Nevada,NV,1.585
2024-11,New Hampshire,NH,0.336
2024-11,New Jersey,NJ,3.179
2024-11,New Mexico,NM,0.708
2024-11,New York,NY,3.492
2024-11,North Carolina,NC,6.149
2024-11,North Dakota,ND,0.095
2024-11,Ohio,OH,2.034
2024-11,Oklahoma,OK,0.862
2024-11,Oregon,OR,1.092
2024-11,Pennsylvania,PA,1.8
2024-11,Rhode Island,RI,0.09
2024-11,South Carolina,SC,3.069
2024-11,South Dakota,SD,0.333
2024-11,Tennessee,TN,3.228
2024-11,Texas,TX,16.304
2024-11,Utah,UT,1.708
2024-11,Vermont,VT,0.132
2024-11,Virginia,VA,3.374
2024-11,Washington,WA,2.644
2024-11,West Virginia,WV,0.267
2024-11,Wisconsin,WI,2.206
2024-11,Wyoming,WY,0.122
2024-12,Alabama,AL,1.618
2024-12,Alaska,AK,0.057
2024-12,Arizona,AZ,3.275
2024-12,Arkansas,AR,1.154
2024-12,California,CA,8.232
2024-12,Colorado,CO,2.916
2024-12,Connecticut,CT,0.885
2024-12,Delaware,DE,0.596
2024-12,District of Columbia,DC,0.299
2024-12,Florida,FL,11.954
2024-12,Georgia,GA,5.657
2024-12,Hawaii,HI,0.299
2024-12,Idaho,ID,1.194
2024-12,Illinois,IL,1.473
2024-12,Indiana,IN,2.032
2024-12,Iowa,IA,0.651
2024-12,Kansas,KS,0.568
2024-12,Kentucky,KY,0.959
2024-12,Louisiana,LA,1.01
2024-12,Maine,ME,0.403
2024-12,Maryland,MD,1.123
2024-12,Massachusetts,MA,1.277
2024-12,Michigan,MI,1.496
2024-12,Minnesota,MN,1.471
2024-12,Mississippi,MS,0.548
2024-12,Missouri,MO,1.102
2024-12,Montana,MT,0.551
2024-12,Nebraska,NE,0.813
2024-12,Nevada,NV,1.144
2024-12,New Hampshire,NH,0.314
2024-12,New Jersey,NJ,3.661
2024-12,New Mexico,NM,0.584
2024-12,New York,NY,4.728
2024-12,North Carolina,NC,6.215
2024-12,North Dakota,ND,0.042
2024-12,Ohio,OH,2.456
2024-12,Oklahoma,OK,0.878
2024-12,Oregon,OR,0.948
2024-12,Pennsylvania,PA,2.099
2024-12,Rhode Island,RI,0.089
2024-12,South Carolina,SC,3.339
2024-12,South Dakota,SD,0.337
2024-12,Tennessee,TN,3.13
2024-12,Texas,TX,18.476
2024-12,Utah,UT,1.677
2024-12,Vermont,VT,0.428
2024-12,Virginia,VA,2.695
2024-12,Washington,WA,3.526
2024-12,West Virginia,WV,0.243
2024-12,Wisconsin,WI,1.749
2024-12,Wyoming,WY,0.221
