time,state_name,state_abbr,units_total_thousand
2020-07,Michigan,MI,2.038
2020-07,Minnesota,MN,2.969
2020-07,Mississippi,MS,0.83
2020-07,Missouri,MO,2.243
2020-07,Montana,MT,0.462
2020-07,Nebraska,NE,0.699
2020-07,Nevada,NV,1.962
2020-07,New Hampshire,NH,0.343
2020-07,New Jersey,NJ,2.92
2020-07,New Mexico,NM,0.455
2020-07,New York,NY,3.775
2020-07,North Carolina,NC,6.122
2020-07,North Dakota,ND,0.457
2020-07,Ohio,OH,2.931
2020-07,Oklahoma,OK,1.254
2020-07,Oregon,OR,1.421
2020-07,Pennsylvania,PA,2.797
2020-07,Rhode Island,RI,0.089
2020-07,South Carolina,SC,4.137
2020-07,South Dakota,SD,0.602
2020-07,Tennessee,TN,5.636
2020-07,Texas,TX,20.183
2020-07,Utah,UT,2.522
2020-07,Vermont,VT,0.22
2020-07,Virginia,VA,4.38
2020-07,Washington,WA,3.574
2020-07,West Virginia,WV,0.373
2020-07,Wisconsin,WI,2.367
2020-07,Wyoming,WY,0.231
2020-08,Alabama,AL,1.853
2020-08,Alaska,AK,0.162
2020-08,Arizona,AZ,4.669
2020-08,Arkansas,AR,1.208
2020-08,California,CA,8.19
2020-08,Colorado,CO,4.673
2020-08,Connecticut,CT,0.566
2020-08,Delaware,DE,1.111
2020-08,District of Columbia,DC,0.363
2020-08,Florida,FL,15.378
2020-08,Georgia,GA,4.962
2020-08,Hawaii,HI,0.286
2020-08,Idaho,ID,1.424
2020-08,Illinois,IL,1.212
2020-08,Indiana,IN,1.861
2020-08,Iowa,IA,1.217
2020-08,Kansas,KS,0.573
2020-08,Kentucky,KY,1.427
2020-08,Louisiana,LA,1.609
2020-08,Maine,ME,0.515
2020-08,Maryland,MD,1.676
2020-08,Massachusetts,MA,0.979
2020-08,Michigan,MI,1.611
2020-08,Minnesota,MN,3.383
2020-08,Mississippi,MS,0.723
2020-08,Missouri,MO,1.687
2020-08,Montana,MT,0.527
2020-08,Nebraska,NE,0.657
2020-08,Nevada,NV,1.514
2020-08,New Hampshire,NH,0.346
2020-08,New Jersey,NJ,2.268
2020-08,New Mexico,NM,0.491
2020-08,New York,NY,3.05
2020-08,North Carolina,NC,6.826
2020-08,North Dakota,ND,0.33
2020-08,Ohio,OH,2.433
2020-08,Oklahoma,OK,1.177
2020-08,Oregon,OR,1.697
2020-08,Pennsylvania,PA,1.958
2020-08,Rhode Island,RI,0.122
2020-08,South Carolina,SC,3.555
2020-08,South Dakota,SD,0.576
2020-08,Tennessee,TN,5.181
2020-08,Texas,TX,18.613
2020-08,Utah,UT,2.93
2020-08,Vermont,VT,0.128
2020-08,Virginia,VA,2.26
2020-08,Washington,WA,3.537
2020-08,West Virginia,WV,0.518
2020-08,Wisconsin,WI,2.028
2020-08,Wyoming,WY,0.163
2020-09,Alabama,AL,1.683
2020-09,Alaska,AK,0.142
2020-09,Arizona,AZ,4.34
2020-09,Arkansas,AR,1.235
2020-09,California,CA,9.476
2020-09,Colorado,CO,4.619
2020-09,Connecticut,CT,0.82
2020-09,Delaware,DE,0.792
2020-09,District of Columbia,DC,0.363
2020-09,Florida,FL,14.408
2020-09,Georgia,GA,5.459
2020-09,Hawaii,HI,0.15
2020-09,Idaho,ID,1.585
2020-09,Illinois,IL,1.729
2020-09,Indiana,IN,2.475
2020-09,Iowa,IA,1.344
2020-09,Kansas,KS,0.947
2020-09,Kentucky,KY,1.305
2020-09,Louisiana,LA,1.547
2020-09,Maine,ME,0.686
2020-09,Maryland,MD,1.932
2020-09,Massachusetts,MA,1.404
2020-09,Michigan,MI,2.04
2020-09,Minnesota,MN,2.907
2020-09,Mississippi,MS,0.734
2020-09,Missouri,MO,1.604
2020-09,Montana,MT,0.408
2020-09,Nebraska,NE,0.866
2020-09,Nevada,NV,2.006
2020-09,New Hampshire,NH,0.394
2020-09,New Jersey,NJ,3.286
2020-09,New Mexico,NM,0.445
2020-09,New York,NY,3.996
2020-09,North Carolina,NC,5.905
2020-09,North Dakota,ND,0.469
2020-09,Ohio,OH,2.566
2020-09,Oklahoma,OK,1.431
2020-09,Oregon,OR,1.004
2020-09,Pennsylvania,PA,2.262
2020-09,Rhode Island,RI,0.136
2020-09,South Carolina,SC,3.562
2020-09,South Dakota,SD,0.762
2020-09,Tennessee,TN,4.018
2020-09,Texas,TX,21.319
2020-09,Utah,UT,2.363
2020-09,Vermont,VT,0.172
2020-09,Virginia,VA,3.028
2020-09,Washington,WA,4.466
2020-09,West Virginia,WV,0.324
2020-09,Wisconsin,WI,2.203
2020-09,Wyoming,WY,0.196
2020-10,Alabama,AL,1.627
2020-10,Alaska,AK,0.149
2020-10,Arizona,AZ,5.352
2020-10,Arkansas,AR,1.252
2020-10,California,CA,8.67
2020-10,Colorado,CO,4.982
2020-10,Connecticut,CT,0.5
2020-10,Delaware,DE,0.969
2020-10,District of Columbia,DC,1.001
2020-10,Florida,FL,15.768
2020-10,Georgia,GA,5.132
2020-10,Hawaii,HI,0.373
2020-10,Idaho,ID,1.502
2020-10,Illinois,IL,1.66
2020-10,Indiana,IN,2.719
2020-10,Iowa,IA,1.181
2020-10,Kansas,KS,0.691
2020-10,Kentucky,KY,0.934
2020-10,Louisiana,LA,1.556
2020-10,Maine,ME,0.607
2020-10,Maryland,MD,1.803
2020-10,Massachusetts,MA,1.135
2020-10,Michigan,MI,2.35
2020-10,Minnesota,MN,2.914
2020-10,Mississippi,MS,0.698
2020-10,Missouri,MO,1.469
2020-10,Montana,MT,0.353
2020-10,Nebraska,NE,1.079
2020-10,Nevada,NV,1.483
2020-10,New Hampshire,NH,0.319
2020-10,New Jersey,NJ,3.367
2020-10,New Mexico,NM,0.503
2020-10,New York,NY,3.375
2020-10,North Carolina,NC,6.359
2020-10,North Dakota,ND,0.34
2020-10,Ohio,OH,3.374
2020-10,Oklahoma,OK,1.2
2020-10,Oregon,OR,1.681
2020-10,Pennsylvania,PA,1.931
2020-10,Rhode Island,RI,0.115
2020-10,South Carolina,SC,4.098
2020-10,South Dakota,SD,0.872
2020-10,Tennessee,TN,4.267
2020-10,Texas,TX,19.374
2020-10,Utah,UT,3.005
2020-10,Vermont,VT,0.128
2020-10,Virginia,VA,2.288
2020-10,Washington,WA,3.531
2020-10,West Virginia,WV,0.337
2020-10,Wisconsin,WI,2.415
2020-10,Wyoming,WY,0.132
2020-11,Alabama,AL,1.338
2020-11,Alaska,AK,0.124
2020-11,Arizona,AZ,4.58
2020-11,Arkansas,AR,1.307
2020-11,California,CA,8.367
2020-11,Colorado,CO,3.69
2020-11,Connecticut,CT,0.446
2020-11,Delaware,DE,0.561
2020-11,District of Columbia,DC,0.626
2020-11,Florida,FL,11.634
2020-11,Georgia,GA,4.499
2020-11,Hawaii,HI,0.385
2020-11,Idaho,ID,1.49
2020-11,Illinois,IL,1.336
2020-11,Indiana,IN,1.834
2020-11,Iowa,IA,1.065
2020-11,Kansas,KS,0.532
2020-11,Kentucky,KY,1.113
2020-11,Louisiana,LA,1.342
2020-11,Maine,ME,0.408
2020-11,Maryland,MD,1.403
2020-11,Massachusetts,MA,1.677
2020-11,Michigan,MI,2.133
2020-11,Minnesota,MN,2.402
2020-11,Mississippi,MS,0.653
2020-11,Missouri,MO,1.615
2020-11,Montana,MT,0.274
2020-11,Nebraska,NE,1.02
2020-11,Nevada,NV,1.943
2020-11,New Hampshire,NH,0.448
2020-11,New Jersey,NJ,3.198
2020-11,New Mexico,NM,0.407
2020-11,New York,NY,3.682
2020-11,North Carolina,NC,7.2
2020-11,North Dakota,ND,0.248
2020-11,Ohio,OH,2.254
2020-11,Oklahoma,OK,1.109
2020-11,Oregon,OR,1.377
2020-11,Pennsylvania,PA,2.367
2020-11,Rhode Island,RI,0.117
2020-11,South Carolina,SC,3.805
2020-11,South Dakota,SD,0.854
2020-11,Tennessee,TN,4.114
2020-11,Texas,TX,17.953
2020-11,Utah,UT,2.783
2020-11,Vermont,VT,0.166
2020-11,Virginia,VA,2.521
2020-11,Washington,WA,3.669
2020-11,West Virginia,WV,0.274
2020-11,Wisconsin,WI,1.498
2020-11,Wyoming,WY,0.144
2020-12,Alabama,AL,1.555
2020-12,Alaska,AK,0.135
2020-12,Arizona,AZ,6.35
2020-12,Arkansas,AR,0.873
2020-12,California,CA,12.584
2020-12,Colorado,CO,5.336
2020-12,Connecticut,CT,0.395
2020-12,Delaware,DE,0.83
2020-12,District of Columbia,DC,1.224
2020-12,Florida,FL,14.402
2020-12,Georgia,GA,4.564
2020-12,Hawaii,HI,0.383
2020-12,Idaho,ID,1.637
2020-12,Illinois,IL,1.284
2020-12,Indiana,IN,1.843
2020-12,Iowa,IA,1.115
2020-12,Kansas,KS,0.824
2020-12,Kentucky,KY,0.907
2020-12,Louisiana,LA,1.514
2020-12,Maine,ME,0.375
2020-12,Maryland,MD,1.785
2020-12,Massachusetts,MA,1.762
2020-12,Michigan,MI,2.167
2020-12,Minnesota,MN,2.847
2020-12,Mississippi,MS,0.629
2020-12,Missouri,MO,1.241
2020-12,Montana,MT,0.58
2020-12,Nebraska,NE,0.73
2020-12,Nevada,NV,2.141
2020-12,New Hampshire,NH,0.342
2020-12,New Jersey,NJ,3.112
2020-12,New Mexico,NM,0.391
2020-12,New York,NY,3.941
2020-12,North Carolina,NC,6.018
2020-12,North Dakota,ND,0.168
2020-12,Ohio,OH,2.498
2020-12,Oklahoma,OK,1.169
2020-12,Oregon,OR,1.564
2020-12,Pennsylvania,PA,2.333
2020-12,Rhode Island,RI,0.119
2020-12,South Carolina,SC,4.046
2020-12,South Dakota,SD,0.348
2020-12,Tennessee,TN,3.879
2020-12,Texas,TX,20.635
2020-12,Utah,UT,2.561
2020-12,Vermont,VT,0.123
2020-12,Virginia,VA,2.612
2020-12,Washington,WA,4.302
2020-12,West Virginia,WV,0.244
2020-12,Wisconsin,WI,0.969
2020-12,Wyoming,WY,0.214
